,index,K2
0,79021a2e2c836c1a,2542395
1,3db691494440189b,1846567
2,fc4f04e287746c48,1255244
3,cd74a8342d25d090,1192484
4,aef4ee042bea9c6b,796152
5,de84da9dfd5a336d,578035
6,ac26bfe54a8a8f38,345571
7,977e4120f0c72865,235183
8,2c154d6f92573c8b,174778
9,dbeabaf7b12face3,157992
10,9ae15116a91320a6,152009
11,aaf1e74eb7ea0675,146192
12,5b9834ef1db9cdf7,125914
13,a8530ac47e72714c,119861
14,ebffc05329450c0b,114589
15,8b759e10f40851a4,99664
16,52557eccea757481,94026
17,e200e549250952dc,91733
18,c55af43e2fba1cdb,91694
19,ba6d2fa6fc733689,90608
20,fe432dc94d0f309e,87589
21,62129a60c2c67093,75009
22,9098047d8e656cfc,72268
23,7bee0aa95f99a3ed,69216
24,a8cc5d49a843fa9c,65494
25,6a82ef5b6ade294f,64541
26,e57746fcbc7a9d22,59820
27,85394825e2a7c6f4,59567
28,91a78cfe3ba6505d,57233
29,f5b48563ec481959,56431
30,c2d70f792220f4f5,56384
31,28c6c473aceb56d6,56331
32,818c76aa1c8fcfcb,55471
33,26a683a75ad83866,50505
34,6c6d07e5821cd3ea,49651
35,210be76195db767d,47293
36,116e80301b961b2e,46812
37,9e670f43185b778c,46469
38,7b7b9b0586cad55f,45747
39,57ae24483382cd9d,45060
40,3821aa69c1f1847d,44423
41,1a605a5b79d0388f,43316
42,68ec5a81e325a413,43032
43,5cbb88e0b2b2f425,42587
44,6a404586ca0b15a7,42003
45,87c27723327a463d,41775
46,f4797fd07d9b0e1c,41582
47,af26d27737af376a,41552
48,b5cff54170800355,41360
49,638edf60b0851c5f,40136
50,9cdda6bf447fc2ea,39593
51,ed9dbb4e9964a7d7,39515
52,3e3f6346413117e2,38398
53,760c20648990a210,38359
54,4c4c60d4c5f4659d,38338
55,c3d96dabaff54bd7,38298
56,6f859ec9f9dfdbec,37859
57,5e80d394a3bde96f,36915
58,15ff929ca404c5df,36784
59,6e43863b5b04e8ac,36723
60,aaf9d651b5657608,35952
61,d4995408493f0436,35856
62,544aed54f77c886e,34578
63,bbfbcc12a37105e4,34576
64,3487fb1d59524391,34562
65,6f24222009d59644,34200
66,1fdba50e2e7a1018,33791
67,30e0a355cdf8a591,33546
68,93afab6d6fcee63e,33262
69,ef28801548f374f9,33230
70,1f67386cdb204853,32316
71,4512510da93e340a,32294
72,dfdd9f5717e60d5b,31942
73,17164e2464a150eb,31357
74,4fa18b7dabaa3cd0,31187
75,d9cda7d4cae5ff1f,31177
76,a7c4818812cd9e97,31173
77,b370904c5195002a,31145
78,d9ce2cf9edd194fe,31085
79,bce4b3596b851520,31001
80,b47eefb9ef38415a,30611
81,92e965fe5f0d22bf,30214
82,4c234ae8e7881e40,30152
83,30886045ac687868,29841
84,d5f05ec8699497af,29408
85,1e4635e68be64f62,29352
86,a6a0665e425a2fbb,29203
87,d29afdbf49bb89a8,29066
88,d09097431acb1794,28868
89,7c515d8c653dd3c3,28455
90,84b51d00c701112a,28409
91,85443f930d812f92,28381
92,ac5f97d8af0fadfd,27984
93,c5bbe024212ef51b,26479
94,73ebe7f645c7fdd2,26456
95,2affa525151b6c51,26213
96,8e440375c676a98a,26150
97,b55089166f99cc06,26052
98,f4b7b04c559dc237,25665
99,1b96f206580d3c18,25455
100,1cdddd02d0281f4a,25115
101,5c2194148c6cce41,25060
102,4098ca19f60dc792,24940
103,58351f60b4c16b9f,24926
104,376b9d520656fcf6,24658
105,70a7ddddc4ade31e,24578
106,af7a76499f431c91,24441
107,24981f3a4301a64f,24153
108,b51e871285d410ca,23871
109,5847e722690075e6,23817
110,c257b3c9d7faa8da,23766
111,3b38277dd131e848,23677
112,ef8c02936aa620f8,23571
113,92c790339776581a,23477
114,7c931e8ce099a1cb,23280
115,27f9f8cf3f12ad78,23058
116,9340104369066edf,22991
117,49b854fb5e1e4dce,22911
118,2ae0ac5ffb606cf6,22897
119,38b74edbe4b2020f,22865
120,759744d1198de61f,22643
121,9540a6ca151af0aa,22628
122,7d49570aacd3c2a5,22521
123,dafde4136fe61e3e,22368
124,5a0417341938a336,21919
125,51afa01d675e0cef,21702
126,b244d3e08c9f0bb1,21539
127,fb98228562b68a79,21490
128,43fbdb6ff46ba0f4,21198
129,595abe844d2a4c42,21192
130,5c58c41597afee4e,20964
131,94ca4f113e6ed02a,20800
132,4bea4baa91123a12,20606
133,7e5291abb3954610,20567
134,115d361046f28021,20518
135,ceb48768f9fbb215,20264
136,f3a5e38cd5808977,19540
137,f8be9eec7b4131a6,19305
138,b8f10aaedb07d12d,19292
139,8ca859eb2e432c77,18955
140,e2867bd5ebd611f5,18888
141,16d15900a21936ad,18849
142,9322e431996c8cb3,18708
143,3379d2ec4e76cd8f,18240
144,de5379ed46e4a9b7,18204
145,f518a78b861bd04e,18170
146,3554bb31d2f1e395,18123
147,8fd6ec30fea22088,17855
148,ec7d97c5f425ebc1,17671
149,c3afb44fc8b628b6,17657
150,fe6d2bc834d840b7,17561
151,52adddc3e9b45857,17506
152,95718c051dae97ec,17033
153,6575ba51fc2e92c3,16996
154,2aa6f6b630b2103b,16989
155,c3bdbe860ac546f7,16904
156,e8ee1ada3b43a2ef,16488
157,c0463c3d43d152b9,16434
158,3381856224f1c922,16342
159,a36ccf9abc1281b3,16275
160,fdc02ba137df4151,15918
161,316bc914dd301f7f,15901
162,1b01a3d333aa3548,15717
163,8903b666acf9a2bc,15663
164,bf89a4e153987abf,15569
165,31f56846f3a87fa3,15539
166,220c3d9f2881635b,15215
167,284ec0a9e71d0e70,15018
168,6863b231891f9c74,14944
169,4d3e9a1981b7004f,14896
170,7e37deee250514a6,14755
171,99277f51a8263cfe,14533
172,de5e4bd452113e9e,14477
173,43161cfc140f8e45,14408
174,11b3311fd8144b3a,14375
175,970efecb7df27190,14363
176,f0bc3d2ccb399a00,14341
177,ec2e7c9f647df70f,14328
178,f492c66181c487a1,14307
179,88137a89999fc4c6,14210
180,ba41755d77115943,14096
181,41d5ba685be3786c,14050
182,64788fade801f45e,13936
183,2a4f07fb6e5a95c3,13920
184,d838defd7464a4d8,13561
185,2dc1637e0ceafdd3,13484
186,87c4b2245008f58a,13481
187,800cb3c1929d3b31,13370
188,53a6350085ecc51e,13356
189,e118044a92a0eac6,13312
190,c50aeb0d7e29b11b,13278
191,468a564bd1f513b5,13152
192,80db1b81c060f8bc,13067
193,263c0c3def1a76b7,13013
194,bf87016dedbe84a6,12905
195,7a3f7ef2116a5163,12898
196,ab7564a2fb726271,12753
197,a5a9bbda21797e8a,12585
198,3b965e6021e9ce1a,12585
199,2e213df806b036a7,12454
200,d6b2b676cf0b6b44,12453
201,3d2ef2b3e0e97d61,12439
202,59a111f0e8c5da20,12285
203,cb068253adb98c34,12264
204,6210cb685af92532,12083
205,4aa045792b0bca18,12011
206,d6a3f8452508fa0a,12005
207,b8b14ce8481d7134,12000
208,fd2b6b9ebda2def3,11951
209,174fc33c6a0afe1c,11879
210,52c1175b74c3030c,11869
211,f311465ef351b357,11837
212,e30a9da194c36c14,11762
213,fd8b8901cf4b8875,11636
214,62e9b1a2497391ea,11535
215,aba42914b0345ca1,11505
216,d96aaf5f0f9b5f21,11467
