id,frequency
100090ebe40971fd,    0
1001140e40fff9fd,    0
10024382a4ae7a07,    0
1002d06dcd20f283,    0
1003306ca93ebfee,    0
1004a8c8af63bb5b,    0
1005df05ad84f962,    0
10068f9fe94d0f16,    0
1006a4984b65f5e5,    0
1006f25cb0122400,    0
1006fe0534f616c9,    0
100752226da94f8a,    0
1008b6594d0930d8,    0
1009e6d758abbd11,    0
100aad48ff6522b5,  252
100ac8b36e0fd037,    0
100aff8b136d865a,    0
100b1cfbdf08ffdc,    0
100c88088924ed6a,    0
100e059c905ad24e,    0
100e12ed2a2712d7,    0
100e524b01ab76be,    0
100e750337bc5b64,    2
100f40c85629e8ba,    0
1010532ee989f0a0,    0
101172a5bc384e0f,    0
10126155001c2902,    0
1012f9ae41403dc5,    0
1013039a3fc8bdf9,    0
10133c24c5fa8e64,    0
1013e2a7e83ebe57,    0
1016cd0d31e8ac07,    0
101a6b5a70943e05,    0
101aaa0bf53725ba,    0
101c1926bacce1c8,    0
101c34fdf5bc40b1,    5
101e55cfcb3933a7,    0
101f2fde490750cf,    0
1021cd0f48220dd1,    0
1024d08c302c0e95,    0
1027851d533f48b7,    0
1027b84035bb7209,   23
102836740224b8ea,    0
1029483a94c52139,    0
102af0bc9e5cdb22,    0
102b4c2430f9eb51,    0
102b8a972fe91183,    0
102c36aeef204672,    0
102c454fd9286c94,    0
102c6324a3df2d64,    0
102ca9cdfac80d90,    0
102d00a393125809,    0
102d8a588215e569,    0
102dc9b7d4d91bab,    0
10307d15011072b4,    0
1031bb1633f4e1f2,    0
1031bdb98fa74a5d,    0
10327cf8818c9d8f,    0
1033b42c99b19ec8,    0
1033d9ab7b0b0af6,    0
1033e0b3e0b16003,    0
1035b548d2888517,    0
1035c227f24f90d7,   28
103661124c48ec93,    0
1038a5d1c6daa2e9,    0
1038d287c3b3c50c,    0
1038d4c187af4388,    0
103a7f5c85b98da8,    0
103b7146d7b599cc,    0
103c45474ffcbb9e,    0
103d3b6fbbbcbeed,    3
103e0205e33f4f13,    0
103f20716cda86f6,    0
103f7222224b4d04,    0
1041df438a18d4d1,    0
1042f8819121e8b6,    1
10434b2a15c66713,    0
104464b70a4c0dfd,    0
1044b87386f0aee0,    0
1045437fa7ea2aff,    0
1047516b69da4837,    0
10482317a5104796,    2
10485aaf7b4d2f40,    0
10487e7865879487,    0
1048982ac3d1d202,    0
1048eb9869d0bde3,   42
1049137ec56213fd,    3
104c96995eb178aa,    0
104d25425926915d,    0
104ecc71f9d114be,    0
104f7fe05072f3ed,    0
1050b6033d67b8bd,    0
1051ed8b489e9e90,    0
1053e173246da759,    0
105440154f6b9bec,    0
105494345e9c1e2e,    4
10550158c7af4dd8,    0
10552cadf67ca153,    0
1055a86b3226161a,    0
10563a6d0862987a,    0
10564d5bf967faf4,    0
1056f08542b3cb8c,    0
10581ffb733ac22a,    0
105835d4810f4bac,    0
105847efab17afda,    0
1058af854c287af8,    0
105aa36435895038,    2
105b967dfe40d0a0,    0
105c6a47f14bcd8b,    0
105c8d7f3ab99e60,    0
105cd249f1a467e3,    0
105dd71ea3e39b0e,    0
105e91ba2b4a4fcd,    0
105f14aef8b6fe1c,    0
105f8ba278f83d8b,    0
105fbd218e6c2023,    0
1061cd97e5fc8373,    0
10623001d64a540f,    0
1064bf5d5dd65b95,    0
1065232243ff8ca2,    0
1065ade17602f116,   77
1065d9aeb8db8f04,    0
10660a0a6dff8bf2,    0
106748a176b17480,    0
106751d387f5df67,   18
106768a0d90e3468,    0
10676bff3bcfb72e,    0
106784ef4d92da18,    0
10680eb0c77870f3,    0
10682d1acc19165d,    0
1068aabe66ad5d32,    0
10692a5804d1ddfe,    0
1069f6d3db82cfa4,    0
106b4b78429e6ebb,    0
106bc062183f4ec1,    0
106bc2402f32b099,    0
106c82ce216c90aa,    0
106d46275705539d,   15
106daa9752ca7173,    0
106e1094382b69f3,    0
106e60c76afb2094,    0
106f3ca85ad3fad7,    0
1072c9bd2e63a525,    0
10739395cf18bad2,    0
107598392795bbb1,    0
1075d8b54a09e8b2,    0
1076c52d51898144,    0
10775c1778ba714c,    0
107773b47c677e2e,   32
1077a762d9a4bbb7,    0
1077d6a93ff22102,    0
10784863fe99a8dc,    0
1078a801dc5dde16,    0
107ad66db7d0abc9,    0
107adbf0406a94d5,   10
107b4d191bfab867,    0
107d2e1f270ec454,    1
107efec7360c1827,    0
107f7150667c70d4,    0
107fbdb54f4e0399,    0
10815e511ef9dcbc,    0
1081ee45871511db,    0
10829ecc5cd3bf11,    0
1083465319df9765,    0
1083ff99576a0f25,    0
10850b09791194fd,    0
1085287f0be81548,    0
1085a894fdbe6b99,    0
1085cb708f19ea5d,    0
1087657c9bccb07a,    0
1087a5919a03e32c,    0
1089916ad13c65b2,    0
1089dbf5a7974317,   58
108c064ec8880cc3,    0
108ca8a7aee06d30,    0
108da40e44750e1c,    0
108da61af7a2eb16,   12
108dae80f228ff42,    3
108e09e6b2c4ea88,   22
108e24b1739a9e41,    0
108ea3bcb278576d,    0
108f18c2baecae13,    0
108f7768a1183290,    0
10917b839a88d38f,    0
1093a5959a166880,    0
10940a74c31c0f55,    0
1094354cfa61b980,    0
1095fd88ebf7d82b,    0
1097dbd713fa232c,    0
10998259c7b4b091,    0
109a60f349184ec9,    0
109d6c2b306696ad,    0
109de0ee11624d38,    0
109e124d5d45b17d,    0
109ef3ffd1502e3f,    0
109f911539a5408e,    0
10a02ca148a97389,    0
10a05421e2427458,    0
10a0af099e3d8c52,    1
10a0b2ba95421ebd,    0
10a12c1b7fe8f388,    0
10a1e359a72bfb0d,    0
10a3377c1220a351,    0
10a41cb2c31d8cdb,    2
10a518d0d080884f,    0
10a5a8c11d5ee613,    0
10a658d3ae0e1f56,    0
10a84dc895ff99d3,    0
10a87b37053a735c,    0
10a9340816e3612d,    0
10ac2d93ac0ccae6,    0
10ae9418447a6211,    0
10b066e1704bea6d,    0
10b06e74eb81a097,    0
10b202c753f1c08c,    0
10b2dac4b3b7f257,    0
10b3e4c59f0e7990,    0
10b4a15794772e28,    0
10b4e22f23b86cc1,    0
10b527df028f9f4c,    0
10b53681653febee,    0
10b5530f26af0c22,    0
10b602b4451e1542,    0
10b64fd59372cc70,    0
10b6b278aaa6d3ac,    0
10b96359cb11311c,    0
10ba24f65ccb885a,    0
10bf65bf7121b444,    0
10bfaf93a3538cd0,    0
10bfe95865f0278a,    1
10c1e3f74908a394,    0
10c1fc4c90737665,    0
10c2000cf251b898,    0
10c22b8197585d8d,    1
10c277d14df9c3a6,    0
10c3633dc5f5f316,    4
10c37992c7cfa566,   38
10c3e67f52dedf28,    0
10c4be4a371e249b,    0
10c4de3fc4073689,    6
10c62365d7b35bb5,    0
10c66a5d8d99740b,    0
10c6a55191887727,    0
10c725ddd05a016e,    0
10c7bb86fe5a5bb9,  151
10c7cd9b8821b1ec,    0
10c89607cac73b8f,    0
10c8b61556691435,    8
10c8bc1eeed44bc0,    0
10c8cdf106bb5303,    0
10c917a2e54ef193,    0
10c95f48278aed6d,    0
10ca4434aef511ff,    0
10caf48bb06416fa,    0
10cb724b5d31a88e,    0
10cb976d3ea6e221,    0
10cdd2ba95719f4c,    0
10cdeb192b73c901,    0
10ce0a5dbf88c994,    0
10ce208469337b1f,    0
10ce65548a858d39,    0
