,index,K3
0,fc4f04e287746c48,1709239
1,79021a2e2c836c1a,1378015
2,818c76aa1c8fcfcb,357008
3,3db691494440189b,296887
4,62129a60c2c67093,193437
5,2c154d6f92573c8b,180812
6,5b9834ef1db9cdf7,169367
7,2ac01c3be4bef1a8,161346
8,210be76195db767d,137973
9,6a82ef5b6ade294f,137943
10,7d49570aacd3c2a5,133831
11,cd74a8342d25d090,123664
12,a8530ac47e72714c,105213
13,a6a0665e425a2fbb,104009
14,324ac734097de5e4,102314
15,7b7b9b0586cad55f,98321
16,30886045ac687868,96070
17,b5cff54170800355,95737
18,c2d70f792220f4f5,92382
19,376b9d520656fcf6,92328
20,174fc33c6a0afe1c,90352
21,dfdd9f5717e60d5b,81250
22,544aed54f77c886e,79820
23,a36ccf9abc1281b3,78589
24,fe432dc94d0f309e,73065
25,4fe1e24de9b82425,72184
26,91a78cfe3ba6505d,71460
27,a8cc5d49a843fa9c,70892
28,8b759e10f40851a4,70562
29,aef4ee042bea9c6b,66152
30,af26d27737af376a,65992
31,2ae0ac5ffb606cf6,63129
32,aaf1e74eb7ea0675,62335
33,11b3311fd8144b3a,60451
34,ac26bfe54a8a8f38,59164
35,ed9dbb4e9964a7d7,58092
36,52c1175b74c3030c,57105
37,30e0a355cdf8a591,55979
38,a7c4818812cd9e97,54116
39,52557eccea757481,53614
40,de84da9dfd5a336d,53484
41,116e80301b961b2e,50870
42,dbeabaf7b12face3,49450
43,43161cfc140f8e45,48978
44,9e670f43185b778c,46765
45,316bc914dd301f7f,46138
46,c3d96dabaff54bd7,46107
47,f172bc991865a772,44759
48,e2867bd5ebd611f5,43588
49,6f24222009d59644,42185
50,b370904c5195002a,41089
51,85443f930d812f92,40738
52,f4797fd07d9b0e1c,40577
53,2fb9ae05f5dbf8f4,40424
54,7e5291abb3954610,39977
55,759744d1198de61f,39168
56,d29afdbf49bb89a8,37786
57,d9cda7d4cae5ff1f,37395
58,c862ff3e5647a708,36656
59,d09097431acb1794,35255
60,684e4a66ffe9e9bc,34530
61,f222713161b44518,34529
62,2aa6f6b630b2103b,34033
63,5a0417341938a336,33939
64,1b96f206580d3c18,33558
65,3d2ef2b3e0e97d61,33518
66,bf89a4e153987abf,33362
67,bce4b3596b851520,32391
68,977e4120f0c72865,32362
69,3554bb31d2f1e395,32184
70,7bee0aa95f99a3ed,31905
71,e57746fcbc7a9d22,31867
72,9ae15116a91320a6,31551
73,f0bc3d2ccb399a00,31426
74,d777cfa1462b7c50,31358
75,b8f10aaedb07d12d,31170
76,c55af43e2fba1cdb,30640
77,5c2194148c6cce41,30558
78,6c6d07e5821cd3ea,30008
79,a4630d2f744bb704,29579
80,985a7942ac7f451d,29504
81,43fbdb6ff46ba0f4,29072
82,7e37deee250514a6,29068
83,ba6d2fa6fc733689,28660
84,4bea4baa91123a12,28272
85,ebffc05329450c0b,27366
86,5cbb88e0b2b2f425,27351
87,26a683a75ad83866,26847
88,7634c051426a6995,26796
89,d838defd7464a4d8,26729
90,4250deb8ef95417a,25506
91,d6b2b676cf0b6b44,25472
92,95718c051dae97ec,25180
93,e118044a92a0eac6,25129
94,3b2c4ba92d860331,24987
95,87c27723327a463d,24307
96,1f67386cdb204853,24199
97,18d0fde54d625b72,23963
98,1be1668b5a9df819,23886
99,e200e549250952dc,23651
100,858365bce9cdae4d,23586
101,6863b231891f9c74,23537
