,index,K7
0,324ac734097de5e4,9560
1,818c76aa1c8fcfcb,5765
2,fc4f04e287746c48,5604
3,8b9f17e47e6282fc,5288
4,2fb9ae05f5dbf8f4,3837
5,8a6e919b5292bbeb,2469
6,6a82ef5b6ade294f,2435
7,3b2c4ba92d860331,2190
8,376b9d520656fcf6,2142
9,52c1175b74c3030c,2117
10,5e4d035e3a82ec8f,1949
11,d5f96f67540b6227,1942
12,2ac01c3be4bef1a8,1309
13,174fc33c6a0afe1c,1177
14,a36ccf9abc1281b3,1164
15,ebb57071adf10406,1159
16,a9786abd381bdaf0,1108
17,1be1668b5a9df819,1062
18,be35a4052b70c8bd,1048
19,d777cfa1462b7c50,1008
20,7634c051426a6995,929
21,c242db3e662da86f,928
22,d0f37668958a190e,910
23,30886045ac687868,865
24,79021a2e2c836c1a,846
25,210be76195db767d,844
26,43161cfc140f8e45,830
27,4fe1e24de9b82425,814
28,1d63c0539a4bb5e0,734
29,d6fe1528dbb6ba78,689
30,a7c4818812cd9e97,631
31,c3d96dabaff54bd7,627
32,bb14d7d33e7fb5ce,599
33,7b7b9b0586cad55f,597
34,92628b55d746da91,593
35,7d49570aacd3c2a5,585
36,684e4a66ffe9e9bc,554
37,78ee58cdb4226247,527
38,cce04c6ad973f9c4,494
39,378e3c61b6e75759,484
40,c5a09f31e2fc286a,464
41,c3b1a0bcf0178bcb,438
42,18d0fde54d625b72,436
43,759c2c3c56dd474f,425
44,2a5246b0be1dbc05,406
45,62129a60c2c67093,392
46,b83bcf1b72468e88,392
47,b4213f299446e480,373
48,65e6ddda8b4b1ef3,358
49,c7d4d8dbe543a241,356
50,905ed472fb4ead51,353
51,91c720e348593971,349
52,a4630d2f744bb704,344
53,adac25a2dee56446,344
54,84a8388236fa7e9c,335
55,a8530ac47e72714c,328
56,46ff3f009d45d3ad,324
57,a5c41cb6b8750e2a,321
58,bca31ffe5d782fdb,320
59,27a2dc7722173835,312
60,3554bb31d2f1e395,311
61,dfdd9f5717e60d5b,310
62,4fe2c4892f0c943b,307
63,ab7564a2fb726271,305
64,b8f10aaedb07d12d,304
65,d838defd7464a4d8,302
66,2c154d6f92573c8b,299
67,bf89a4e153987abf,296
68,ed1c83f126bc97be,289
69,6d4a2eeae5820969,284
70,ad784b7b6433cd6e,284
71,f6a46956aabf6e4d,282
72,5409dfbd01779363,281
73,5722fbb959dd3b5f,276
74,4b6926b0754cb602,274
75,b370904c5195002a,271
76,b889895d49ce51f1,270
77,243945483f151716,269
78,4aa045792b0bca18,260
79,f6d41e8253fd1557,258
80,c56b63809907285d,257
81,bca9a6cd1adaab1d,257
82,bc820051fbd08e13,256
83,5b9834ef1db9cdf7,254
84,75d83af8e69f7bf0,253
85,cd74a8342d25d090,251
86,6a50532e6588a77c,251
87,1b96f206580d3c18,245
88,e2867bd5ebd611f5,245
89,f222713161b44518,243
90,6525b7c2a4403dca,237
91,358b0e066c92dd52,234
92,f0bc3d2ccb399a00,232
93,af26d27737af376a,232
94,1e548fe99b61af8c,229
95,9764914b9780dbe9,226
96,29cc7b8c30db5589,225
97,a8cec75ca2dd4e2d,225
98,866378eaeac3dcc2,225
99,9d257543bc4d1440,224
100,116cfa60b6f89c78,221
101,621dc1153ac28ede,220
102,f4797fd07d9b0e1c,219
103,58e294d9185ebafd,219
104,2ae0ac5ffb606cf6,218
105,3d83328820c6bb39,215
106,7bee0aa95f99a3ed,214
107,ee900ea7fafc20bb,210
108,5cbb88e0b2b2f425,206
109,57671d8391f9ad87,204
110,2be3d6f2d43ebf17,201
111,125b6315a4274616,200
112,9abac790ae1151e0,198
113,fcf75bf82d3910d3,197
114,500c0a3f9c42bf90,195
115,67d3c57140da7862,192
116,f4c04f568acffc9a,191
117,7455385370358b2c,190
118,4e84c8c3edb44158,190
119,61926874f4d0d5ed,189
120,e6c129c04fe1ebdf,188
121,194b76399cc1d96f,188
122,8f03aa5ebbc68148,188
123,f172bc991865a772,187
124,d9077bd98bf3825c,187
125,ae3d01fa6689e64b,186
126,fb433da333d31523,182
127,48458daa031662d6,181
128,b331150397becac3,179
129,70a22956e2a2855e,177
130,5771f4c9b16e49c8,176
131,858365bce9cdae4d,176
132,6975a76a4239f004,175
133,43fbdb6ff46ba0f4,174
134,6a9dea4962e9c96f,172
135,9586dc36aee88f72,171
136,a6a0665e425a2fbb,170
137,aef4ee042bea9c6b,169
138,31507b46acf8b458,168
139,23199387bcfbb9e8,167
140,816cf175574cf2fb,166
141,40a91ef57b86ba1e,165
142,544aed54f77c886e,165
143,f807cea3e4385a7c,165
144,7e9c4eb8561d34b6,165
145,e86f8703584cd866,164
146,213267dbd3926e82,162
147,6f24222009d59644,162
148,b5596b3b6892e2af,161
149,c68e7a7384a44143,161
150,3612ed02f22cf453,159
151,11b047e4eb0d8953,159
152,4583c1944ccd050e,159
153,316bc914dd301f7f,158
154,3a3fa7ef1979247d,158
155,4bea4baa91123a12,156
156,32d3b29966925324,155
157,531fba632e6c55b2,154
158,a371989fdaf6c30f,154
159,fede3fb3ca35ec3b,154
160,4bbb42b15ace4a67,152
161,3379d2ec4e76cd8f,151
162,855edb2e5ac29f06,151
163,813038c4bd5f8311,150
164,c3577e1280d8fd87,149
165,f72d33234d128c7f,148
166,68ded5657f28a6c8,148
167,7a41bcb94bf478b6,146
168,c0c6eb6739319591,144
169,67c9e6602c5b7591,143
170,5a58e862d5211264,142
171,d61be2d7e9e0b9c6,142
172,a6c1883c5ecab4c4,141
173,b151d62fe69c1908,140
174,330e3d7fdc876894,139
175,bb2e72a72e5a5c9d,139
176,7358119ada85d645,136
177,5a0417341938a336,134
178,d0ad17393b968276,134
179,dc7618f50e5e4863,133
180,dec5112ffc8d7d55,133
181,53f70bf4cccad44b,133
182,570679e64026fdff,132
183,1da054db44a72302,132
184,d6fd08b731e9bd53,132
185,b5cff54170800355,131
186,d06a64457caa7c3d,130
187,f68f78f81c40a35f,128
188,9a5ec9a6f0dca5fc,127
189,6f31d594b4e5b59d,127
190,6261946d7e5f6ee0,126
191,b9048a80d75753dd,123
192,ed9dbb4e9964a7d7,123
193,c2455738e0d94eea,122
194,c2d70f792220f4f5,120
195,1c98bb7426890cab,120
196,8446c8dea3b10abf,120
197,e2d42cab9a2a6726,120
198,39b546a30732f97b,119
199,4a8cb67423d0429e,119
200,bd6f2399575c260b,118
201,f9942274be5f2b71,116
202,7ea14cb70ba22e1c,116
203,8b0a3f988f4dc47b,116
204,d29afdbf49bb89a8,114
205,3462a2460a142127,112
206,e208a47db9335a24,112
207,e3d896dfb57b3d6e,112
208,64356f801abddfa2,111
209,bea023633aee592d,110
210,b011a183abf54a81,109
211,e31515dcd97f3a52,108
212,1b3660568d34cf1b,108
213,6607f1282556b598,108
214,1a3eceaf89d07d41,108
215,b98e053d818ba3b8,107
216,76e276cdc9ba2ce9,107
217,7a7db90bb874541c,106
218,c41c142eaa9af734,106
219,a9925c644099a28f,106
220,faaedfb331b0b9e9,106
221,8ea1de9be7eaaeb1,106
222,98f662137b9aa218,103
223,7be43865d8e18d50,103
224,30e061c20a665871,103
225,a60c5ef40803e36b,103
226,95718c051dae97ec,102
227,c9cdf8b25a32e054,102
228,677e53f40a4ccb3b,102
229,ad0422c8d620caf8,101
230,30c3dfacfd06da96,100
231,5f9a85c9cfd88900,100
232,6200d2581c5e42a1,100
233,fe432dc94d0f309e,99
234,df0bae589e8fd8b6,99
235,8016f9db729360dd,99
236,1e4d11b0c883e699,98
237,abf8418c9937a3db,97
238,3c3ee02253fb5546,96
239,ee6b86ec836a910d,96
240,3614ca1c88cea833,96
241,464b3512caec3118,94
242,eaa5925e407f9368,94
243,ceb48768f9fbb215,94
244,100aad48ff6522b5,94
245,87c4b2245008f58a,93
246,ff4ff56fbadb07c0,92
247,ed1914554cbd41df,91
248,85d369ba3151debd,91
249,9ccdfb5296a65167,91
250,11b3311fd8144b3a,91
251,2d0977c7ffe06dd5,90
252,e13f224b0b32f05e,89
253,a052357aae601a9b,89
254,b000faa03b9bd3a0,89
255,d4ec185f56af27cd,89
256,e588b802b73e06bb,88
257,88228740073efdab,87
258,70708fe11abde12c,87
259,477fef05f0820fe8,87
260,e39292c58c3bc000,86
261,b62c5d7c72aa181c,86
262,b317ece2727a0a45,85
