,index,K13
0,78ee58cdb4226247,98
1,818c76aa1c8fcfcb,70
2,97f1b70e713a41d2,63
3,52c1175b74c3030c,53
4,40a91ef57b86ba1e,37
5,2ac01c3be4bef1a8,34
6,c3d96dabaff54bd7,33
7,2fb9ae05f5dbf8f4,32
8,ade86ddc910cca5d,26
9,324ac734097de5e4,26
10,d0c86ae407e807b2,24
11,b38062e518b8d4c0,24
12,f0bc3d2ccb399a00,23
13,cd6c046d07033b23,21
14,2d6033a738d88128,19
15,72534f939c5c21ad,17
16,88228740073efdab,17
17,a36ccf9abc1281b3,15
18,bf89a4e153987abf,15
19,858365bce9cdae4d,15
20,bdce87301e49d56e,14
21,c41c142eaa9af734,13
22,5a0417341938a336,12
23,c72ce3b00c9366d4,12
24,7b7b9b0586cad55f,11
25,3c18ca146e954300,11
26,9502d01075a8d29d,11
27,3462a2460a142127,11
28,f84012520bbc7adf,9
29,8a6e919b5292bbeb,9
30,ca0c85679a73f741,7
31,47afe18fbdef218a,7
32,db75a8de70ef564f,6
33,62129a60c2c67093,6
34,158f9138bd756356,6
35,210be76195db767d,5
36,4bea4baa91123a12,5
37,c242db3e662da86f,4
38,fc4f04e287746c48,4
39,ed3577177aa0ccf9,4
40,8f27582475f3a632,4
41,871e09317d5f6287,4
42,4c9f1f8651b8affc,4
43,f02a8939f561d999,4
44,5e4d035e3a82ec8f,4
45,1d47be408f944147,3
46,8169e84322417aed,3
47,be35a4052b70c8bd,3
48,a780f1bd40b9df53,3
49,f9f7dea4acd045b8,3
50,2ae0ac5ffb606cf6,3
51,ca0ddbdfdcbba5e6,2
52,f834399bd1d666cc,2
53,dc7618f50e5e4863,2
54,69dbb768e59b3b00,2
55,bb14d7d33e7fb5ce,2
56,e22007c31513369f,2
57,a3bacfd45909ba7b,2
58,c03f486cd729d17f,2
59,500c0a3f9c42bf90,2
60,f807cea3e4385a7c,2
61,545a5c29c559e408,2
62,b9048a80d75753dd,2
63,5ffce9d509e24baa,1
64,26f5c6b95d942f0a,1
65,376b9d520656fcf6,1
66,6a82ef5b6ade294f,1
67,9636a17dddffb237,1
68,9af4a5bf1d7dc326,1
69,27a2dc7722173835,1
70,a945eb7ea331ef26,1
71,18a1fece22fdc8f6,1
72,1837eba4c00c4af5,1
73,8b9f17e47e6282fc,1
74,e462dc472cf12db3,1
75,917bf27353b340ca,1
76,f222713161b44518,1
77,40fd9c2409340e12,1
78,a84d3064ee9703a2,1
79,be1a2db2071c446b,1
80,fb433da333d31523,1
81,ce6225e75ae5dc3c,1
82,c5af170cf940e117,1
83,3c3ee02253fb5546,1
