,index,K4
0,fc4f04e287746c48,496482
1,79021a2e2c836c1a,295498
2,324ac734097de5e4,256583
3,818c76aa1c8fcfcb,249093
4,2ac01c3be4bef1a8,105310
5,62129a60c2c67093,96049
6,6a82ef5b6ade294f,92424
7,a4630d2f744bb704,80182
8,2fb9ae05f5dbf8f4,77835
9,376b9d520656fcf6,75773
10,5e4d035e3a82ec8f,68089
11,2c154d6f92573c8b,67500
12,a36ccf9abc1281b3,66784
13,7d49570aacd3c2a5,66360
14,174fc33c6a0afe1c,61308
15,5b9834ef1db9cdf7,57957
16,d777cfa1462b7c50,56544
17,4fe1e24de9b82425,49076
18,7634c051426a6995,47620
19,8b9f17e47e6282fc,45477
20,4250deb8ef95417a,36382
21,ad784b7b6433cd6e,34551
22,a6a0665e425a2fbb,33207
23,30886045ac687868,32420
24,b5cff54170800355,31149
25,8a6e919b5292bbeb,30990
26,1be1668b5a9df819,30596
27,210be76195db767d,28733
28,544aed54f77c886e,28090
29,7b7b9b0586cad55f,27143
30,52c1175b74c3030c,26130
31,c2d70f792220f4f5,24852
32,2ae0ac5ffb606cf6,24534
33,30e0a355cdf8a591,24201
34,dfdd9f5717e60d5b,23839
35,c5a09f31e2fc286a,22681
36,6a50532e6588a77c,22449
37,a8530ac47e72714c,22083
38,43161cfc140f8e45,21580
39,3b2c4ba92d860331,20163
40,e2867bd5ebd611f5,19730
41,f172bc991865a772,18604
42,724a46cdababd9ce,18553
43,bf89a4e153987abf,18492
44,29cc7b8c30db5589,18400
45,c9de02598f8f8847,18014
46,b370904c5195002a,18005
47,a8cc5d49a843fa9c,17508
48,91a78cfe3ba6505d,17342
49,adac25a2dee56446,17233
50,18d0fde54d625b72,17212
51,af26d27737af376a,17021
52,1b96f206580d3c18,16236
53,46ff3f009d45d3ad,15850
54,ed9dbb4e9964a7d7,15494
55,d5f96f67540b6227,15392
56,d838defd7464a4d8,15386
57,c3d96dabaff54bd7,15345
58,2d0977c7ffe06dd5,14720
59,8b759e10f40851a4,14389
60,116e80301b961b2e,14206
