,index,K10
0,818c76aa1c8fcfcb,226
1,224cb2b5b4003e76,188
2,4fe2c4892f0c943b,168
3,7d49570aacd3c2a5,164
4,8a6e919b5292bbeb,140
5,2ac01c3be4bef1a8,134
6,f08298ecee080a83,120
7,f0bc3d2ccb399a00,118
8,fc4f04e287746c48,111
9,b8f10aaedb07d12d,110
10,72534f939c5c21ad,107
11,a0c0b42e3496ea24,104
12,fcf75bf82d3910d3,101
13,6a82ef5b6ade294f,100
14,324ac734097de5e4,99
15,8b9f17e47e6282fc,98
16,bca9a6cd1adaab1d,96
17,4fe1e24de9b82425,95
18,5e4d035e3a82ec8f,94
19,79021a2e2c836c1a,94
20,97f1b70e713a41d2,91
21,c3d96dabaff54bd7,84
22,fafa5c631c330706,84
23,5ecd7192f57f5c2b,81
24,210be76195db767d,79
25,b9048a80d75753dd,78
26,bb14d7d33e7fb5ce,71
27,1b96f206580d3c18,71
28,ade86ddc910cca5d,68
29,5a0417341938a336,64
30,6a3c09707ddc7a1f,64
31,48458daa031662d6,63
32,a36ccf9abc1281b3,63
33,2fb9ae05f5dbf8f4,61
34,c242db3e662da86f,58
35,78ee58cdb4226247,58
36,801d1699647ae6e2,55
37,288d27a32faa1b29,53
38,a7c4818812cd9e97,52
39,98f662137b9aa218,51
40,6d4a2eeae5820969,50
41,c645ba81d289bf55,50
42,30886045ac687868,49
43,9502d01075a8d29d,44
44,85d369ba3151debd,41
45,2d6033a738d88128,41
46,c7d4d8dbe543a241,40
47,52c1175b74c3030c,40
48,75d83af8e69f7bf0,40
49,2a5246b0be1dbc05,39
50,faaedfb331b0b9e9,38
51,858365bce9cdae4d,37
52,d9cda7d4cae5ff1f,37
53,ceb48768f9fbb215,36
54,f0847c13a931adc6,36
55,ebf06d28d6285fdd,36
56,d777cfa1462b7c50,35
57,b73144519b0b636e,35
58,e3d896dfb57b3d6e,35
59,170a56e7797d68c9,35
60,a8530ac47e72714c,33
61,23bb7236839c9084,31
62,817ac84b22c15eaf,31
63,4bea4baa91123a12,30
64,7fcc22c5c8e7a0a4,29
65,27a2dc7722173835,28
66,c85bd2cbfab822b5,28
67,a6a0665e425a2fbb,27
68,d61be2d7e9e0b9c6,27
69,f6c5b84b547f1ec1,26
70,58e0b25a859bfa21,26
71,55d19161747e83a3,26
72,bdc4feac279af8f7,25
73,6f1611e34759b12a,25
74,8169e84322417aed,25
75,866378eaeac3dcc2,24
76,bd6f2399575c260b,24
77,376b9d520656fcf6,23
78,eaad0c3d7097d76f,23
79,243945483f151716,23
80,531fba632e6c55b2,23
81,c7e324f4859b7fc8,23
82,e45c76ed5d907524,22
83,23199387bcfbb9e8,22
84,1c98bb7426890cab,22
85,b98e053d818ba3b8,21
86,5cdc7274e806a0fb,21
87,dda2cc0b799b6da1,20
88,bf338bc16e04524d,20
89,cbaa07976594da83,20
90,905ed472fb4ead51,20
91,fb433da333d31523,19
92,fca90e7f73f3c8ef,19
93,6d6c523ec2226b55,18
94,b568ef0006da6379,18
95,8dca54a9059aa02d,17
96,e47f800289b0d37a,17
97,fd4763169fcb77d8,17
98,43161cfc140f8e45,17
99,f6d41e8253fd1557,17
100,c96d20dbf625b7d9,17
101,bb6e25219a305a5b,17
102,4de193f8448a92bc,17
103,5f9a85c9cfd88900,17
104,ad784b7b6433cd6e,16
105,8733071297c2e7e5,16
106,683bef7c1de95b30,16
107,69a1d1d869845a82,16
108,930b650208cb64e8,16
109,a8f2d43b8fa1b2bd,15
110,f17bfc271cc47f85,15
111,62f8ab2ea4ea0424,15
112,d5f96f67540b6227,15
113,8dcf16f4857c6f85,15
114,c9cdf8b25a32e054,15
115,32282498a9a10cd0,15
116,52364c5f44e18286,15
117,2408cb6e8c7bc0d7,14
118,cefa8a50c88cc002,14
119,3c3f542d6f3f2f39,14
120,9112222f105a1d11,14
121,2c981c1ed6fb1769,14
122,e2d42cab9a2a6726,14
123,9835ad8374656496,13
124,f222713161b44518,13
125,174fc33c6a0afe1c,13
126,52adddc3e9b45857,13
127,a5c3195e952bcd5d,12
128,2e3a05a9008525bc,12
129,9ffc07fd488a6080,12
130,1e548fe99b61af8c,12
131,343ca17b3a1c2b09,12
132,3c3ee02253fb5546,12
133,7b7b9b0586cad55f,12
134,ea83e7cfd52b1de7,12
135,bea023633aee592d,12
136,36e3ba891d1c6de9,12
137,5409dfbd01779363,11
138,4e59ac2dde80f7eb,11
139,dd50a4a35e9e47bc,11
140,92628b55d746da91,11
141,b38062e518b8d4c0,11
142,f807cea3e4385a7c,11
143,2ae0ac5ffb606cf6,11
144,6fee321991230368,11
145,f4797fd07d9b0e1c,11
146,2fc4a781172e5e6c,11
147,eb35e136ef13e03c,11
148,3462a2460a142127,10
149,ed1c83f126bc97be,10
150,464b3512caec3118,10
151,7d9ee02ee3eadaa0,10
152,a03db3abeea863f4,10
153,2c154d6f92573c8b,10
154,a22a744855575ee6,10
155,bf89a4e153987abf,10
156,da4fa8b6b596e5f0,10
157,b78dcff3a30e96b0,10
158,5944800f83e7c3ec,10
159,59216172bdd5060d,10
160,6a5209dc9d9f1f84,9
161,500c0a3f9c42bf90,9
162,7a8c662904c613ac,9
163,c2455738e0d94eea,9
164,d6fe1528dbb6ba78,9
165,3379d2ec4e76cd8f,9
166,e60b38de97d19221,9
167,84d1d2a35a26ebe9,9
168,275d90e628e96418,9
169,b6b0ff8571bd90f4,9
170,55f483fd7c4d4cf4,9
171,a05a4e683d31c3fb,8
172,b5596b3b6892e2af,8
173,42f60e5306da0890,8
174,d2a1a09b230c2370,8
175,1704d0c84a54f3e1,8
176,549b84d33c39e1a8,8
177,ac0cc43c75aac448,8
178,43a5dfab4a7744d5,8
179,684e4a66ffe9e9bc,8
180,65ab36aa7324d348,8
181,545a5c29c559e408,8
182,9ca7b856c7030f5d,8
183,5722fbb959dd3b5f,7
184,e118044a92a0eac6,7
185,8b759e10f40851a4,7
186,7cfc7219c062f6ab,7
187,12cecc477e28a400,7
188,b7954cc307d1c4e3,7
189,dcf0769e79eb3315,7
190,80db1b81c060f8bc,7
191,6a9dea4962e9c96f,7
192,70a22956e2a2855e,7
193,588314c1a6d452ce,7
194,f02a8939f561d999,7
195,4ba186cedbdf1df9,7
196,2f4a7ecbd6091fe9,6
197,125b6315a4274616,6
198,e8ee1ada3b43a2ef,6
199,eb9ec70e035bcdc6,6
200,f172bc991865a772,6
201,853b06df90f48e39,6
202,946f30a17c0e627a,6
203,c327cf02fddf7a98,6
204,675d9b1aabfd469a,6
205,cb08b94d35660439,6
206,1d44edc1f18387cf,6
207,8b7213252c1cca8e,6
208,67f5eb45d7bb2692,6
209,692732e1434e217f,6
210,be35a4052b70c8bd,6
211,e5e0367fda5fa366,5
212,eccb9f2204040343,5
213,16dae636cd15d083,5
214,790c906e618fd900,5
215,94b30b13016c16ad,5
216,4325369ea0fe5a9b,5
217,d46bcb8c4941b7d5,5
218,cb4f580fb86ad0aa,5
219,a4710a055308c5b9,5
220,45b1dc593d8582ed,5
221,c4cc0395a5f1c9ec,5
222,f584ef3cb4e7f531,5
223,bc820051fbd08e13,5
224,e3e2fa4a1dce5dd4,5
225,2158e43aa1a1290b,5
226,c03f486cd729d17f,5
227,a42e721c97e9a597,5
228,a8672e163f8fcc59,4
