,index,K6
0,324ac734097de5e4,28353
1,818c76aa1c8fcfcb,28112
2,8b9f17e47e6282fc,24637
3,fc4f04e287746c48,21917
4,5e4d035e3a82ec8f,9711
5,2fb9ae05f5dbf8f4,8128
6,6a82ef5b6ade294f,7946
7,8a6e919b5292bbeb,6404
8,2ac01c3be4bef1a8,6247
9,92628b55d746da91,5169
10,376b9d520656fcf6,4716
11,62129a60c2c67093,4452
12,d777cfa1462b7c50,4100
13,79021a2e2c836c1a,3734
14,d5f96f67540b6227,3425
15,3b2c4ba92d860331,3417
16,30886045ac687868,3155
17,7d49570aacd3c2a5,2749
18,4fe1e24de9b82425,2627
19,7634c051426a6995,2530
20,a36ccf9abc1281b3,2509
21,adac25a2dee56446,2281
22,18d0fde54d625b72,2260
23,1be1668b5a9df819,2160
24,174fc33c6a0afe1c,2128
25,c3b1a0bcf0178bcb,2040
26,52c1175b74c3030c,2010
27,a4630d2f744bb704,1900
28,be35a4052b70c8bd,1888
29,43161cfc140f8e45,1877
30,cce04c6ad973f9c4,1799
31,f172bc991865a772,1761
32,ad784b7b6433cd6e,1705
33,c5a09f31e2fc286a,1699
34,a9786abd381bdaf0,1685
35,210be76195db767d,1653
36,c242db3e662da86f,1644
37,f222713161b44518,1486
38,1d63c0539a4bb5e0,1479
39,a8530ac47e72714c,1450
40,5b9834ef1db9cdf7,1394
41,d838defd7464a4d8,1361
42,b151d62fe69c1908,1329
43,7b7b9b0586cad55f,1317
44,4b6926b0754cb602,1182
45,9d257543bc4d1440,1146
46,ebb57071adf10406,1146
47,a03db3abeea863f4,1145
48,378e3c61b6e75759,1115
49,a0c0b42e3496ea24,1111
50,bca31ffe5d782fdb,1093
51,316bc914dd301f7f,1090
52,d6fe1528dbb6ba78,1089
53,cc469de811e40a76,1084
54,40a91ef57b86ba1e,1069
55,c862ff3e5647a708,1050
56,a5c41cb6b8750e2a,1016
57,4e84c8c3edb44158,990
58,b5cff54170800355,957
59,bb14d7d33e7fb5ce,938
60,e6c129c04fe1ebdf,930
61,2a5246b0be1dbc05,907
62,7bee0aa95f99a3ed,898
63,29cc7b8c30db5589,882
64,af26d27737af376a,879
65,dfdd9f5717e60d5b,870
66,58e294d9185ebafd,866
67,cd74a8342d25d090,855
68,358b0e066c92dd52,849
69,c3d96dabaff54bd7,844
70,46ff3f009d45d3ad,829
71,a6a0665e425a2fbb,825
72,91a78cfe3ba6505d,809
73,e208a47db9335a24,808
74,6d4a2eeae5820969,806
75,4fe2c4892f0c943b,792
76,2ae0ac5ffb606cf6,780
77,78ee58cdb4226247,769
78,a948a90c60027536,753
79,684e4a66ffe9e9bc,751
80,4f48faf3b5ef2a27,747
81,2c154d6f92573c8b,747
82,bc820051fbd08e13,746
83,a7c4818812cd9e97,741
84,905ed472fb4ead51,724
85,5771f4c9b16e49c8,714
86,1b96f206580d3c18,708
87,4bea4baa91123a12,702
88,c2d70f792220f4f5,702
89,43fbdb6ff46ba0f4,699
90,1b3660568d34cf1b,698
91,e2867bd5ebd611f5,696
92,f6d41e8253fd1557,672
93,6a50532e6588a77c,669
94,2cb16b6371fe42b9,633
95,759c2c3c56dd474f,633
96,3554bb31d2f1e395,629
97,866378eaeac3dcc2,616
98,858365bce9cdae4d,615
99,ee900ea7fafc20bb,608
100,5722fbb959dd3b5f,604
101,5cbb88e0b2b2f425,603
102,bca9a6cd1adaab1d,601
103,c91207e3f2759446,597
104,f4797fd07d9b0e1c,593
105,621dc1153ac28ede,591
106,cb08b94d35660439,588
107,36e3ba891d1c6de9,574
108,75d83af8e69f7bf0,573
109,d0f37668958a190e,570
110,aa895653d88894eb,564
111,7e9c4eb8561d34b6,563
112,1e4d11b0c883e699,558
113,3faf3037bbe4cf7a,556
114,9504aaca0469d8ac,547
115,b67710f4ba97feee,544
116,5a0417341938a336,540
117,32caf29ec5a5344b,539
118,e588b802b73e06bb,534
119,b83bcf1b72468e88,530
120,b370904c5195002a,528
121,58e0b25a859bfa21,527
122,fbf4fc40a933bc81,525
123,f807cea3e4385a7c,523
124,68ded5657f28a6c8,521
125,1c98bb7426890cab,513
126,3d83328820c6bb39,501
127,1ddc1e8748926f91,501
128,9e5eada454c54137,500
129,65e6ddda8b4b1ef3,496
130,ee6b86ec836a910d,496
131,5bc0358de7a1fe29,491
132,8e39a02183bfb9d2,484
133,f0bc3d2ccb399a00,483
134,f3176709ae5c2084,480
135,df0bae589e8fd8b6,479
136,9abac790ae1151e0,471
137,b368ea5a989661bc,466
138,b4213f299446e480,464
139,64788fade801f45e,447
140,204804677e80f854,441
141,6f31d594b4e5b59d,437
142,b78dcff3a30e96b0,432
143,3462a2460a142127,428
144,b011a183abf54a81,427
145,cc8d78432f4b4a87,426
146,bc0d0c03e9b04c6c,425
147,531fba632e6c55b2,423
148,bf7e952b7c259020,421
149,1e548fe99b61af8c,416
150,aa749eb58c4f6141,416
151,f43586ba2ab373d3,412
152,d0ad17393b968276,410
153,f8e3804f8bfa6895,409
154,37f755ad652f3b3a,408
155,30c3dfacfd06da96,407
156,3d2ef2b3e0e97d61,401
157,fa72716edff1fd96,399
158,855edb2e5ac29f06,398
159,544aed54f77c886e,395
160,9586dc36aee88f72,394
161,c68e7a7384a44143,394
162,2d0977c7ffe06dd5,392
163,eeb468915c26efea,391
164,d232bb9243a17553,391
165,62b6503b5a57113e,387
166,2fc4a781172e5e6c,386
167,eff099b7a8369f36,383
168,724a46cdababd9ce,383
169,d9077bd98bf3825c,380
170,b8db99fd1441cc0d,379
171,fe432dc94d0f309e,379
172,ed9dbb4e9964a7d7,376
173,3b9f08a614b08fcb,374
174,16dae636cd15d083,373
175,e86f8703584cd866,373
176,3a3fa7ef1979247d,369
177,40427a31850cd473,369
178,73ad2a774a8cb58c,364
179,f584ef3cb4e7f531,362
180,b9048a80d75753dd,359
181,b889895d49ce51f1,359
182,182b06270f22ba65,359
183,3c3ee02253fb5546,357
184,fede3fb3ca35ec3b,356
185,bf89a4e153987abf,355
186,dd50a4a35e9e47bc,352
187,91c720e348593971,348
188,7fa82ff75ac7906c,348
189,b5596b3b6892e2af,347
190,31e122766a736c90,337
191,36b766df09d9264a,335
192,27a2dc7722173835,330
193,862e0fadc6a6ceea,329
194,84a8388236fa7e9c,326
195,116cfa60b6f89c78,324
196,faaedfb331b0b9e9,323
197,ae3d01fa6689e64b,320
198,c2455738e0d94eea,314
199,3608327493155203,310
200,11b3311fd8144b3a,310
201,d9d23af408d14927,309
202,c7e92c46731c207e,307
203,ad0422c8d620caf8,306
204,85443f930d812f92,296
205,c3afb44fc8b628b6,295
206,76e276cdc9ba2ce9,293
207,4e2ee827d0451372,292
208,479e1f5b9c05018f,292
209,c84945d53cecd120,290
210,43c82dce5a140eb9,289
211,ade86ddc910cca5d,288
212,85d369ba3151debd,286
213,fcf75bf82d3910d3,284
214,4461c8c6dbc821c1,283
215,5f9a85c9cfd88900,282
216,2be3d6f2d43ebf17,282
217,8eea41bcee33825f,276
218,f5a1173b7b13d22d,276
219,9ccdfb5296a65167,276
220,8fee9d9a53763b3d,276
221,11b047e4eb0d8953,275
222,963a7bf439ce1a25,273
223,685a6fa0c87d795d,272
224,749e8fef4edb1490,272
225,ab7564a2fb726271,269
226,39ab8771b4f3b16a,269
227,580e0667660ea9a6,264
228,5286a80369a3ba3f,264
229,194b76399cc1d96f,263
230,629ebf3e07628fd3,261
231,d61be2d7e9e0b9c6,259
232,12f7d2408c3dcb88,259
233,6f24222009d59644,258
234,6aac96df3fe2e16d,257
235,6261946d7e5f6ee0,256
236,6607f1282556b598,255
237,d118eba1e061c033,255
238,b1d79bbce7eb4eea,252
239,d9b1006249f6d102,251
240,b9c471bc53981cb9,251
241,2ed93f4fc12e68ac,249
242,9caa560d275828de,248
243,b8f10aaedb07d12d,247
244,2ab4312acf1183b6,247
245,aef4ee042bea9c6b,246
246,ce6225e75ae5dc3c,246
247,3ad198e0eb3c6823,244
248,a512a2f89b656c25,244
249,dff40de4dd25253a,244
250,206d765ef5f7e24d,242
251,869f8c74924e3053,242
252,3379d2ec4e76cd8f,242
253,4d954c4acf1119e1,241
254,116e80301b961b2e,239
255,db8dc0001d5ff803,239
256,70a22956e2a2855e,238
257,d9cda7d4cae5ff1f,237
258,404c2b9f9bded582,235
259,b615b3c1b39d4615,234
260,bd6f2399575c260b,232
261,bf338bc16e04524d,230
262,9d6c0eb16de6ae23,230
263,f3907be69aa56f3e,230
264,bea023633aee592d,229
265,6863b231891f9c74,229
266,fad0202578abdbe0,229
267,aa09a3ca8beb3885,228
268,a8672e163f8fcc59,228
269,78285e4ad015b366,228
270,e1e6c80df99aa6d0,227
271,56925e974c73b2aa,227
272,53f70bf4cccad44b,227
273,f8be9eec7b4131a6,225
274,b4b984a0a212056b,223
275,ab5f1c55e06d4385,222
276,969f703522844153,222
277,28f4155ea4edbc1c,222
278,f8cf881f80e4a313,221
279,98f662137b9aa218,220
280,30e061c20a665871,220
281,a77b3bb6af3ede3b,217
282,bc68632be699cd73,217
283,ad39d14bdb132b16,216
284,7a48fcfd9450db60,216
285,b6da935ba4617f45,215
286,68690500551f7d08,215
287,35b75b276fe371fb,215
288,62f8ab2ea4ea0424,214
289,e93ef31168ffa408,214
290,b12e548c05cf3cd3,212
291,c7d4d8dbe543a241,211
292,500c0a3f9c42bf90,211
293,8b759e10f40851a4,210
294,de84da9dfd5a336d,209
295,e6bc059b4bf52fac,208
296,d2f5833fe5a405ab,208
297,65734fb56dc13b4c,208
298,bd1d8a2184c14646,206
299,9a9e612b8f5ba2fc,206
300,ce71870d38370270,205
301,331ec07412b1f352,203
302,5409dfbd01779363,202
303,d741732b991eca8d,202
304,6a9dea4962e9c96f,201
305,fc80405683699947,198
306,3d3b48b52707515a,197
307,c105eb3aa7747c96,197
308,aa7f2e100ac651c0,196
309,aecb0e4919f61623,196
310,762ee94f86754b68,196
311,1da054db44a72302,195
312,2a91aa3e323a34d9,195
313,b6c9bd1ea8069058,195
314,125b6315a4274616,195
