,index,K11
0,224cb2b5b4003e76,181
1,ad784b7b6433cd6e,156
2,2d6033a738d88128,154
3,f0bc3d2ccb399a00,124
4,818c76aa1c8fcfcb,124
5,5e4d035e3a82ec8f,105
6,1b96f206580d3c18,84
7,5722fbb959dd3b5f,79
8,97f1b70e713a41d2,77
9,210be76195db767d,77
10,5a0417341938a336,69
11,2a5246b0be1dbc05,68
12,3554bb31d2f1e395,67
13,2fb9ae05f5dbf8f4,65
14,133f212f6dc873cd,64
15,a36ccf9abc1281b3,61
16,78ee58cdb4226247,60
17,c3b1a0bcf0178bcb,53
18,c3d96dabaff54bd7,50
19,fc4f04e287746c48,50
20,fafa5c631c330706,45
21,5ecd7192f57f5c2b,43
22,b9048a80d75753dd,43
23,4fe1e24de9b82425,42
24,ade86ddc910cca5d,39
25,ae7402521af5a1fd,34
26,c242db3e662da86f,34
27,43161cfc140f8e45,31
28,72534f939c5c21ad,31
29,8169e84322417aed,30
30,2ac01c3be4bef1a8,29
31,f6d41e8253fd1557,28
32,9586dc36aee88f72,26
33,3379d2ec4e76cd8f,26
34,b8f10aaedb07d12d,24
35,f7c95d63e3885450,24
36,fb433da333d31523,22
37,27a2dc7722173835,22
38,4bea4baa91123a12,22
39,530bfd1fb606ced7,22
40,324ac734097de5e4,21
41,2ae0ac5ffb606cf6,21
42,75d83af8e69f7bf0,21
43,522558e5dbaab842,20
44,500c0a3f9c42bf90,19
45,33b7b9342fad7a02,19
46,4bd0261329f2aa9b,18
47,f523e6a51cd2176e,18
48,d5f96f67540b6227,17
49,2cb16b6371fe42b9,17
50,905ed472fb4ead51,16
51,c96d20dbf625b7d9,16
52,b38062e518b8d4c0,16
53,3462a2460a142127,15
54,7d6bcc83832f720e,15
55,174fc33c6a0afe1c,15
56,b56c3cd57d7ca31b,14
57,34a1a96753b876e9,14
58,9df3bdad9c26b7ef,14
59,376b9d520656fcf6,13
60,41121d6d3f935389,12
61,54a7a17a6796220d,12
62,52a74f0253f6d2b4,12
63,9835ad8374656496,11
64,683b3238e9064762,11
65,efe2703519fca1de,11
66,70a22956e2a2855e,10
67,16dae636cd15d083,10
68,f518a78b861bd04e,10
69,8c23e83c96fb67f4,10
70,a8672e163f8fcc59,9
71,a5c3195e952bcd5d,9
72,1704d0c84a54f3e1,8
73,c03f486cd729d17f,8
74,3fe6495194e4e095,8
75,8016f9db729360dd,8
76,40b687dbfab2328f,8
77,30656b2241df1443,8
78,7b7b9b0586cad55f,7
79,6a9dea4962e9c96f,7
80,f8272829d65244fe,7
81,52c1175b74c3030c,7
82,f7a3cd953c7366e3,7
83,22686c8afcf15937,7
84,e5f34f20e1a99321,6
85,b9ee644957f0418e,6
86,55555788a795f6f6,6
87,2e9c0a079c011b2e,6
88,a0c0b42e3496ea24,6
89,69cc92dc8410a468,6
90,9502d01075a8d29d,6
91,56dfb0517fd7f4ae,6
92,2c154d6f92573c8b,6
93,8b9f17e47e6282fc,6
94,3e524c3be0558600,6
95,515bb2b40a829e42,6
96,6452d83557048f2d,6
97,d7e0ef3aacedb04c,5
98,dda2cc0b799b6da1,5
99,79021a2e2c836c1a,5
100,aa05824d54017642,5
101,7dfb5832152d0bb1,5
102,3ba7ee68fc092061,5
103,f584ef3cb4e7f531,5
104,81506e1cabb8d3a3,5
105,98f662137b9aa218,5
106,85d369ba3151debd,5
107,855bd009e3348c0e,4
108,8b7213252c1cca8e,4
109,fc2e58f69d38aeab,4
110,f111fb9faabebadd,4
111,fca90e7f73f3c8ef,4
112,e1e6c80df99aa6d0,4
113,bf9b4e3c0e5c4fdc,4
114,2ab4312acf1183b6,4
115,7046315c2f4318d1,4
116,6d3431f015026815,4
117,2ccc6acd934d6c9b,4
118,ceb48768f9fbb215,4
119,1da054db44a72302,4
120,f9f7dea4acd045b8,4
121,350a6fa1b8f2d1b0,4
122,dfdd9f5717e60d5b,4
123,5ffce9d509e24baa,4
124,c862ff3e5647a708,4
125,f4797fd07d9b0e1c,4
126,bc0d0c03e9b04c6c,4
127,1ad5389c7e6dc09f,3
128,2408cb6e8c7bc0d7,3
129,fb7bdd9edefd5e36,3
130,ec69ba66ad94cd6c,3
131,9d6c0eb16de6ae23,3
132,3b2c4ba92d860331,3
133,e62b2c971c4de21e,3
134,378e3c61b6e75759,3
135,60d03eeb23d88e10,3
136,7ea14cb70ba22e1c,3
137,26dbacc59ebdcef5,3
138,f222713161b44518,3
139,c4ba53cf3a1362f4,3
140,b5cff54170800355,3
141,bc11d0beb5639095,3
142,684e4a66ffe9e9bc,3
143,67b3cf0f73f10d34,3
144,5da0f1fac429fe67,3
145,f66922a63e0aad25,3
146,b5596b3b6892e2af,3
147,bd6f2399575c260b,3
148,fad0202578abdbe0,3
149,d232bb9243a17553,3
150,858365bce9cdae4d,3
151,95679b06c5699baf,3
152,cf08177dd919f02d,3
153,4098ca19f60dc792,2
154,31149fcfb7043bcb,2
155,edd0269b957d11b3,2
156,588314c1a6d452ce,2
157,d5dc4a68f0b2f9c5,2
158,202859ed7bf76fcd,2
159,11b047e4eb0d8953,2
160,80e7835f0601585c,2
161,99e0a9007f895712,2
162,e47f800289b0d37a,2
163,597adac5d272c529,2
164,69ac6d723826586c,2
165,8d14ddcc73d6455a,2
166,d390123bef203d73,2
167,9ec922b016eb80ef,2
168,7be43865d8e18d50,2
169,c5a09f31e2fc286a,2
170,dbf86422e0318ed5,2
171,1d2fbcbe894a1167,2
172,5b9834ef1db9cdf7,2
173,1033e0b3e0b16003,2
174,1db015af6140e3f0,2
175,58a64cb0e49993a1,2
176,36e3ba891d1c6de9,2
177,c9e1b3db73b98970,2
178,464b3512caec3118,2
179,64bc1e426ac3f861,2
180,5f7e3b5131e88da4,2
181,15c8ebd9cfb6f30a,2
182,df0bae589e8fd8b6,2
183,7917aad3c85b8d45,2
184,ff33d2a5e4ada8e3,2
185,4153db7f1db8b27d,2
186,af26d27737af376a,2
187,b6df0a9594edb050,2
188,fcf75bf82d3910d3,2
189,4fe2c4892f0c943b,2
190,5f9a85c9cfd88900,2
191,a6a0665e425a2fbb,1
192,f35766fc13879654,1
193,259211c4a88e0c0e,1
194,f0847c13a931adc6,1
195,13794ba637769baf,1
196,26f5c6b95d942f0a,1
197,951da4921aaa5f39,1
198,125b6315a4274616,1
199,18990e8a7eb6be05,1
200,cbdcd859eb2ce9e7,1
201,cefa8a50c88cc002,1
202,95e87eee1fa867f2,1
203,2df37a127fba4421,1
204,e2c7fe617045a216,1
205,a9925c644099a28f,1
206,1c98bb7426890cab,1
207,7ec703c257a227e7,1
208,6a82ef5b6ade294f,1
209,dcd48782b1591769,1
210,b151d62fe69c1908,1
211,d42ae8306811e069,1
212,e2d61db4880fe4ad,1
213,ad39d14bdb132b16,1
214,c41c142eaa9af734,1
215,fbf7b0997d0273fd,1
216,c269c145cf72d6d3,1
217,b889895d49ce51f1,1
218,5dfa8b01e524df69,1
219,fa8f98289fee5c24,1
220,30c95b83fd6424a4,1
221,62f8ab2ea4ea0424,1
222,7683e85f38c6918d,1
223,e118044a92a0eac6,1
224,243945483f151716,1
225,683bef7c1de95b30,1
226,b98e053d818ba3b8,1
227,565ec9822ca30928,1
228,1ae7662981a05f63,1
229,e6c129c04fe1ebdf,1
230,119d29b7c5ed7041,1
231,a8530ac47e72714c,1
232,f9ad6366d02e3cf9,1
233,871e09317d5f6287,1
234,a7c4818812cd9e97,1
235,82bdf29ca4627216,1
236,6f1611e34759b12a,1
237,d0c86ae407e807b2,1
238,288d27a32faa1b29,1
239,3381856224f1c922,1
240,68ded5657f28a6c8,1
241,33f27c634476c86f,1
242,d2f5833fe5a405ab,1
243,5aa0a1b2c59ce8bf,1
244,d83502f281c86eb2,1
245,53a6350085ecc51e,1
