,index,K5
0,324ac734097de5e4,111708
1,fc4f04e287746c48,96604
2,818c76aa1c8fcfcb,96517
3,5e4d035e3a82ec8f,50372
4,8b9f17e47e6282fc,48355
5,6a82ef5b6ade294f,37503
6,79021a2e2c836c1a,35929
7,2ac01c3be4bef1a8,28622
8,d777cfa1462b7c50,24170
9,7d49570aacd3c2a5,21888
10,8a6e919b5292bbeb,18415
11,2fb9ae05f5dbf8f4,17958
12,376b9d520656fcf6,15594
13,92628b55d746da91,15285
14,a4630d2f744bb704,15176
15,d5f96f67540b6227,13549
16,62129a60c2c67093,12838
17,a36ccf9abc1281b3,12623
18,be35a4052b70c8bd,11070
19,7634c051426a6995,10949
20,4fe1e24de9b82425,10189
21,18d0fde54d625b72,10090
22,1be1668b5a9df819,9859
23,866378eaeac3dcc2,9769
24,5b9834ef1db9cdf7,9619
25,174fc33c6a0afe1c,9070
26,3b2c4ba92d860331,8962
27,ad784b7b6433cd6e,8719
28,c862ff3e5647a708,8610
29,c5a09f31e2fc286a,8381
30,adac25a2dee56446,8190
31,210be76195db767d,7559
32,4250deb8ef95417a,7533
33,29cc7b8c30db5589,7161
34,30886045ac687868,6882
35,378e3c61b6e75759,6302
36,b5cff54170800355,5763
37,a0c0b42e3496ea24,5756
38,43161cfc140f8e45,5652
39,46ff3f009d45d3ad,5446
40,d6fe1528dbb6ba78,5190
41,a6a0665e425a2fbb,5052
42,1b3660568d34cf1b,4744
43,7b7b9b0586cad55f,4560
44,6a50532e6588a77c,4417
45,f172bc991865a772,4308
46,bf89a4e153987abf,4182
47,2c154d6f92573c8b,4095
48,dfdd9f5717e60d5b,4079
49,a8530ac47e72714c,4042
50,bca31ffe5d782fdb,3893
51,c242db3e662da86f,3852
52,5771f4c9b16e49c8,3828
53,bb14d7d33e7fb5ce,3801
54,2a5246b0be1dbc05,3778
55,9ccdfb5296a65167,3740
56,3554bb31d2f1e395,3721
57,b889895d49ce51f1,3692
58,d838defd7464a4d8,3665
59,358b0e066c92dd52,3620
60,d9d23af408d14927,3567
61,39ab8771b4f3b16a,3515
62,9504aaca0469d8ac,3503
63,1e4d11b0c883e699,3422
64,e208a47db9335a24,3339
65,f3176709ae5c2084,3326
66,c2d70f792220f4f5,3303
67,3faf3037bbe4cf7a,3266
68,6d4a2eeae5820969,3242
69,cce04c6ad973f9c4,3224
70,724a46cdababd9ce,3190
71,4b6926b0754cb602,3189
72,60ec687843fc7149,3040
73,e2867bd5ebd611f5,3015
74,7e9c4eb8561d34b6,3003
75,316bc914dd301f7f,2944
76,855edb2e5ac29f06,2908
77,52c1175b74c3030c,2872
78,ed9dbb4e9964a7d7,2833
79,2ed93f4fc12e68ac,2803
80,12f7d2408c3dcb88,2744
81,1b96f206580d3c18,2727
82,c3d96dabaff54bd7,2693
83,c68e7a7384a44143,2579
84,91a78cfe3ba6505d,2563
85,2ae0ac5ffb606cf6,2554
86,bc820051fbd08e13,2553
87,cd74a8342d25d090,2478
88,b370904c5195002a,2462
89,af26d27737af376a,2453
90,969f703522844153,2451
91,b368ea5a989661bc,2443
92,544aed54f77c886e,2380
93,621dc1153ac28ede,2299
94,4f48faf3b5ef2a27,2265
95,6f31d594b4e5b59d,2257
96,b011a183abf54a81,2182
97,759c2c3c56dd474f,2168
98,cc8d78432f4b4a87,2101
99,43fbdb6ff46ba0f4,2099
100,b151d62fe69c1908,2091
101,9d257543bc4d1440,2043
102,9abac790ae1151e0,2042
103,8e39a02183bfb9d2,2039
104,fa72716edff1fd96,2027
105,7bee0aa95f99a3ed,2012
106,e86f8703584cd866,1999
107,684e4a66ffe9e9bc,1974
108,d2f5833fe5a405ab,1854
109,b6c9bd1ea8069058,1835
110,bea023633aee592d,1825
111,b679e97fd4a161cd,1824
112,6f24222009d59644,1814
113,75d83af8e69f7bf0,1813
114,faaedfb331b0b9e9,1811
115,85d369ba3151debd,1802
116,9d6c0eb16de6ae23,1791
117,f6d41e8253fd1557,1787
118,2d0977c7ffe06dd5,1774
119,a5c41cb6b8750e2a,1762
120,fad0202578abdbe0,1725
121,5722fbb959dd3b5f,1707
122,f222713161b44518,1692
123,440e23b95b2673e2,1675
124,f4797fd07d9b0e1c,1653
125,3db691494440189b,1644
