,index,K8
0,324ac734097de5e4,3602
1,818c76aa1c8fcfcb,2608
2,2fb9ae05f5dbf8f4,2111
3,4bbb42b15ace4a67,1316
4,fc4f04e287746c48,1247
5,8a6e919b5292bbeb,1061
6,376b9d520656fcf6,935
7,3b2c4ba92d860331,905
8,8b9f17e47e6282fc,889
9,6d4a2eeae5820969,825
10,6a82ef5b6ade294f,792
11,2ac01c3be4bef1a8,770
12,210be76195db767d,666
13,5e4d035e3a82ec8f,611
14,d5f96f67540b6227,525
15,1be1668b5a9df819,452
16,dfdd9f5717e60d5b,434
17,c3d96dabaff54bd7,427
18,c242db3e662da86f,426
19,a36ccf9abc1281b3,414
20,43161cfc140f8e45,310
21,174fc33c6a0afe1c,301
22,30886045ac687868,298
23,faaedfb331b0b9e9,294
24,fcf75bf82d3910d3,294
25,3554bb31d2f1e395,289
26,be35a4052b70c8bd,282
27,79021a2e2c836c1a,282
28,d6fe1528dbb6ba78,278
29,b5596b3b6892e2af,269
30,a8530ac47e72714c,241
31,d777cfa1462b7c50,237
32,ee900ea7fafc20bb,229
33,cd74a8342d25d090,224
34,84a8388236fa7e9c,223
35,52c1175b74c3030c,221
36,4fe1e24de9b82425,218
37,910cda72aa173c1a,212
38,7b7b9b0586cad55f,209
39,4fe2c4892f0c943b,203
40,b8f10aaedb07d12d,201
41,3a3fa7ef1979247d,197
42,f6d41e8253fd1557,196
43,a9786abd381bdaf0,193
44,f0bc3d2ccb399a00,190
45,3612ed02f22cf453,189
46,7d49570aacd3c2a5,188
47,759c2c3c56dd474f,183
48,cce04c6ad973f9c4,179
49,f0847c13a931adc6,179
50,92628b55d746da91,179
51,f5a1173b7b13d22d,179
52,46ff3f009d45d3ad,177
53,62129a60c2c67093,177
54,d29afdbf49bb89a8,174
55,855edb2e5ac29f06,171
56,b08b521e58484c22,171
57,ad784b7b6433cd6e,169
58,f4797fd07d9b0e1c,169
59,866378eaeac3dcc2,169
60,3ad198e0eb3c6823,165
61,858365bce9cdae4d,164
62,e33dc6d0ae5ad14d,162
63,7634c051426a6995,160
64,684e4a66ffe9e9bc,157
65,2a5246b0be1dbc05,152
66,e588b802b73e06bb,150
67,7e9c4eb8561d34b6,149
68,2ae0ac5ffb606cf6,149
69,905ed472fb4ead51,149
70,9d257543bc4d1440,148
71,5a0417341938a336,148
72,a7c4818812cd9e97,144
73,27a2dc7722173835,143
74,bb14d7d33e7fb5ce,142
75,5bc0358de7a1fe29,142
76,ed1914554cbd41df,139
77,6261946d7e5f6ee0,136
78,224cb2b5b4003e76,133
79,9502d01075a8d29d,131
80,4aa045792b0bca18,128
81,b5cff54170800355,128
82,6ff8347c8020b03b,127
83,7bc3f518c7835472,127
84,b9048a80d75753dd,126
85,7d4115e07c1a4240,125
86,fb433da333d31523,125
87,bca9a6cd1adaab1d,124
88,b370904c5195002a,123
89,df076e2053e16d17,123
90,bc820051fbd08e13,122
91,570071500f487790,120
92,98f662137b9aa218,120
93,39aaf2735902f8d3,120
94,d0f37668958a190e,119
95,378e3c61b6e75759,118
96,1b96f206580d3c18,117
97,500c0a3f9c42bf90,115
98,ade86ddc910cca5d,114
99,4bea4baa91123a12,113
100,1704d0c84a54f3e1,110
101,e3d896dfb57b3d6e,110
102,4e84c8c3edb44158,108
103,b4213f299446e480,107
104,4b6926b0754cb602,107
105,3d2ef2b3e0e97d61,105
106,db570f592a5d5725,104
107,a5c41cb6b8750e2a,104
108,2c154d6f92573c8b,102
109,aa09a3ca8beb3885,102
110,1c98bb7426890cab,101
111,8cc0c3de074a34c0,101
112,b78dcff3a30e96b0,100
113,3379d2ec4e76cd8f,99
114,6525b7c2a4403dca,98
115,d2f5833fe5a405ab,97
116,8872e72547a6c26c,97
117,531fba632e6c55b2,97
118,9764914b9780dbe9,96
119,2cb16b6371fe42b9,94
120,d5ca84633435a73c,94
121,18d0fde54d625b72,93
122,fffdbb80538ef8ed,92
123,5ecd7192f57f5c2b,92
124,8d7f8cfa28fd250c,91
125,5cbb88e0b2b2f425,91
126,9079edb336cd8590,88
127,c9de02598f8f8847,86
128,6c5a40853cdc8e97,85
129,ebb57071adf10406,85
130,b368ea5a989661bc,85
131,108da61af7a2eb16,83
132,b889895d49ce51f1,83
133,125b6315a4274616,82
134,358b0e066c92dd52,82
135,24044a4657af2cb5,80
136,aef4ee042bea9c6b,80
137,91c39b578c45e30f,80
138,3d83328820c6bb39,80
139,ad39d14bdb132b16,78
140,12f7d2408c3dcb88,77
141,d61be2d7e9e0b9c6,76
142,c4f519b1cbf91b5b,76
143,dbce267b98c27cf9,75
144,1261fb103b3aa6b4,75
145,ef8c02936aa620f8,74
146,a371989fdaf6c30f,73
147,48458daa031662d6,73
148,9fa64578304bb269,72
149,a4bc51e5ff2f9467,72
150,d53f49a693eb6aaa,72
151,11b047e4eb0d8953,72
152,f222713161b44518,71
153,316bc914dd301f7f,71
154,632227b6bc135ca6,70
155,3f4c997c348d4d3a,69
156,371d65f82ed603bd,68
157,8fd8a99c694b68aa,68
158,97f1b70e713a41d2,68
159,a0c0b42e3496ea24,68
160,9dfe501117af9cfc,68
161,a61e620f45aa714e,66
162,bd6f2399575c260b,66
163,7d938231de7b2d00,66
164,8ab66c216c75fa78,65
165,9a19319d8323a76b,64
166,7bee0aa95f99a3ed,64
167,e45c76ed5d907524,64
